artist_id,artist_name
1,Fonky Family
2,Saïan Supa Crew
3,L’Skadrille
4,Booba
5,Dontcha
6,I.K
7,Akhenaton
8,Lunatic
9,Grand Corps Malade
10,Casey
11,Bakry & Black M
12,Nessbeal
13,Sinik
14,Fayçal
15,La Cosca
16,KoHndo
17,Sefyu
18,Eech
19,John Gali
20,Sexion d’Assaut
21,Sniper
22,Nakk Mendosa
23,Le Klub des 7
24,Bouchées Doubles
25,Soklak
26,Abd Al Malik
27,Alpha 5.20
28,Various Artists
29,Calvin Scott
30,Iron Sy
31,Oxmo Puccino
32,Dany Dan
33,Nubi (FR)
34,Apash
35,Keny Arkana
36,Monseigneur Mike
37,Axiom
38,Grems
39,Rim’K
40,Al Peco
41,Puzzle (Fra)
42,Scred Connexion
43,Médine
335,Ali (FRA)
44,Mac Tyer
45,Unité 2 Feu
46,Despo Rutti
47,Gims
48,Hocus Pocus
49,TTC
50,ATK
51,Furax
52,LIM
53,Mokless
54,Ill (FRA)
55,L’Animalerie
56,Youssoupha
57,Vald
58,C-Sen
59,Bazoo
60,B.James
61,Cause Commune
62,Falcko
63,Exodarap
64,Dry
65,DjunZ
66,Fababy
67,Pejmaxx
68,Saké
69,Klub des Loosers
70,1995
71,Vincenzo
72,Ladea
73,No Name Studio
74,Zoxea
75,Alkpote
76,Sadek
77,Anton Serra
78,Disiz
79,Black Kent
80,Kery James
81,Tiers
82,Greg Frite
83,MOH
84,Guizmo
85,Jarod
86,Shurik’n
87,Mysa
88,Soprano
89,T.I.S
90,Mentalités Sons Dangereux
91,Lino
92,Kalif Hardcore
93,Gaïden
94,H Magnum
95,Taïpan
96,Veerus
97,Deen Burbigo
98,Kaaris
99,Oligarshiiit
100,Alonzo
101,Jiddy
102,Golden Eye Music
103,Niro
104,Lucio Bukowski
105,Walter & Lomepal
106,Eddie Hyde
107,Georgio
108,Bilel
109,Hayce Lemsi
110,Mystik
111,Scylla
112,Triptik
113,Rocca
114,Espiiem
115,Canardo
116,Jazzy Bazz
117,Ockney
118,Dosseh
119,Gradubid
120,Demi Portion
121,TLF
122,Stupeflip
123,BraSco
124,Alpha Wann
125,Tortoz
126,Zesau
127,Eddy Woogy
128,FOMO (FRA)
129,Piloophaz
130,Patee Gee
131,K-LY
132,Flynt
133,"Hologram Lo’, Caballero & Lomepal"
134,Révolution Urbaine
135,Eff Gee
136,Melan
137,Prodige
138,Zippo
139,1984
140,3010
141,Vicelow
142,A2H
143,Hugo TSR
144,Mister You
145,Butter Bullets
146,Nemir
147,Mothas la Mascarade
148,Mil
149,Seyté
150,Gravité Zéro
151,Green Money
152,Inglourious Bastardz
153,Ateyaba
154,AL (FRA)
155,Sëar Lui-Même
156,Zaho
157,Eklips
158,DEF (FRA)
159,Swift Guad
160,Rizla
161,Leck
162,Veence Hanao
163,Radmo (Liqwid Crack)
164,F.L.O
165,The Shin Sekaï
166,Stutt (FRA)
167,Loko
168,El Matador
169,La Fouine
170,Gaël Faye
171,Vax1
172,Laylow x Sir’Klo
173,BPM
174,Senamo
175,Orties
176,Kamelancien
177,Hyacinthe
178,Set&Match
179,Eli Mc
180,Rocé (FRA)
181,Pand’Or
182,Davodka
183,Volts Face
184,Higher Music Group
185,Omerta Muzik
186,VII
319,Fredy K
187,Wojtek
188,IAM
189,Ghetto Fabulous Gang
190,Rimcash
191,Sanka
192,Seth Gueko
193,Aelpéacha & A2H
194,5 Majeur
195,Pepso Stavinsky
196,Phases Cachées
197,Yoshi Di Original
198,KT Gorique
199,Lacrim
200,Louis Aoda
201,Smoker
202,Dais
203,Lil’ Saï
204,Sofiane
205,TiTo Prince
206,Vîrus
207,Futur Proche
208,Grizzly942
209,Brulux
210,Dinos
211,Fadah
212,Kozi
213,Taïro
214,DJ Hamida
215,MZ
216,Big Budha Cheez
217,Rapsodie
218,Lartiste
219,Wati-B
220,Yong-C
221,Stromae
222,Freddy Gruesum
223,Cuizinier
224,Le Pakkt
225,Lomepal
226,Caballero
227,Gato
228,Hugo Délire
229,Kenyon
230,Rohff
231,L’Or du Commun
232,Ol’ Kainry
233,$-Crew
234,Le Gouffre
235,Tengo John
236,Bakar (FRA)
237,Hippocampe Fou
238,Sifoor
239,Kerjo
240,Locus (FR)
241,DJ Quick
242,Alibi Montana
243,Manau
244,La Rumeur
245,Rabakar
246,Casseurs Flowters
247,Escobar Macson
248,Vitaa
249,Corneille
250,Res Turner
251,Pink Tee
252,Morsay
253,LIQID
254,Greengo
255,XLR
256,Jeff Le Nerf
257,Hamso
258,Paco
259,Take A Mic
260,Le Sous Marin
261,Tefa & Masta
262,Faf Larage
263,Ärsenik
264,L’Algérino
265,Octobre Rouge
266,Tony Parker
267,Haroun
268,Salif
269,Psykick Lyrikah
270,Dabaaz
271,Expression Direkt
272,Tar-One
273,Fatal Bazooka
274,Idir
275,Mokobé
276,Wouilo
277,MC Solaar
278,James Delleck
